DATE,BTC,BTC_ret_1w
2020-09-04,,
2020-09-11,-0.010605930924464602,-0.010549886349036086
2020-09-18,0.05095111225559101,0.05227144884807222
2020-09-25,-0.02328206254231091,-0.02301312649590581
2020-10-02,-0.010977954186692784,-0.010917916346023349
2020-10-09,0.045153107400023984,0.04618802677575329
2020-10-16,0.02302061377179676,0.023287633147558218
2020-10-23,0.13291061255541337,0.14214790008568334
2020-10-30,0.04646065338151928,0.047556860437508286
2020-11-06,0.13895152516927745,0.1490683977574676
2020-11-13,0.047175668569426676,0.04830614734675476
2020-11-20,0.13204979979684417,0.14116514764472
2020-11-27,-0.08473715501316725,-0.08124625751761072
2020-12-04,0.08894128239965937,0.09301647513751354
2020-12-11,-0.03487211437316695,-0.034271088792055426
2020-12-18,0.24783572337877757,0.28124943557643767
2020-12-25,0.0639021623726368,0.06598809991292032
2021-01-01,0.17473835392720538,0.19093457249005863
2021-01-08,0.3285083702784455,0.3888948657162048
2021-01-15,-0.10243655249713512,-0.09736458210059029
2021-01-22,-0.10950478968231714,-0.10372212853444474
2021-01-29,0.03894084322552693,0.0397089760014675
2021-02-05,0.10575357465109114,0.1115479291678596
2021-02-12,0.2194552823421425,0.24539815542190047
2021-02-19,0.16252022048350412,0.1764721070430142
2021-02-26,-0.18735168749616982,-0.1708479173169729
2021-03-05,0.05433524174320681,0.05583850397105139
2021-03-12,0.15852488042505186,0.17178107827381028
2021-03-19,0.01754148594753424,0.017696241367880283
2021-03-26,-0.056575320250031425,-0.05500469546808162
2021-04-02,0.07420342732579144,0.07702587970714014
2021-04-09,-0.019371773244051482,-0.019185346193070774
2021-04-16,0.05556171802943055,0.057134259302417334
2021-04-23,-0.18655976773219507,-0.17019103533077018
2021-04-30,0.12246612401362356,0.13028083004745805
2021-05-07,-0.006841919550016229,-0.006818566907771162
2021-05-14,-0.13965362404984205,-0.130340587659167
2021-05-21,-0.29051175592133127,-0.25211926276665564
2021-05-28,-0.04403548087567977,-0.04307999548900576
2021-06-04,0.03297633458273985,0.03352608012595382
2021-06-11,0.011855164381607608,0.011925715365049383
2021-06-18,-0.042323536227449665,-0.04144039835917068
2021-06-25,-0.1232396217037941,-0.11594820082005908
2021-07-02,0.0689759438953299,0.07141043487676635
2021-07-09,-0.0029259218903341377,-0.0029216455526407392
2021-07-16,-0.07290836071224938,-0.07031397811284901
2021-07-23,0.06648321711860561,0.0687430273371894
2021-07-30,0.22928537720364695,0.25770090696889114
2021-08-06,0.01366133283533344,0.013755075238385928
2021-08-13,0.10996234500120572,0.11623603780084779
2021-08-20,0.031832518766062634,0.03234459247949961
2021-08-27,-0.0057015186855498,-0.005685295874087171
2021-09-03,0.01951348929685004,0.01970512187297424
2021-09-10,-0.10845099458064134,-0.1027771374777301
2021-09-17,0.05174398683367798,0.05310609897181795
2021-09-24,-0.0983569590516904,-0.09367467502335647
2021-10-01,0.11616791739279186,0.12318445850524329
2021-10-08,0.11475412817424058,0.12159763440907345
2021-10-15,0.132175183284593,0.14130823988154395
2021-10-22,-0.014747368486656143,-0.01463915863793186
2021-10-29,0.024988224006126103,0.025303046490942505
2021-11-05,-0.017872490806121633,-0.01771372509558633
2021-11-12,0.04838470071364753,0.049574349670086004
2021-11-19,-0.09881412418672397,-0.09408892066638652
2021-11-26,-0.0815177452201894,-0.0782836463508827
2021-12-03,0.0005315106432171035,0.0005316519200282421
2021-12-10,-0.1262054012458993,-0.11856621940826972
2021-12-17,-0.02228472872823062,-0.02203825839739526
2021-12-24,0.09530695932928523,0.0999964574831611
2021-12-31,-0.09305201574790267,-0.08885389488260309
2022-01-07,-0.10819346702065324,-0.1025460481085162
2022-01-14,0.03642832640561089,0.03709996867134646
2022-01-21,-0.16737385563854268,-0.1541166860303821
2022-01-28,0.035752357406821034,0.0363991581336609
2022-02-04,0.09381999118139639,0.0983620132724905
2022-02-11,0.02162103855415687,0.02185646688172227
2022-02-18,-0.05768198143330139,-0.05604990663599241
2022-02-25,-0.020614164230044807,-0.020403144830224207
2022-03-04,-0.0019556227677135496,-0.0019537117834331763
2022-03-11,-0.008793113955816168,-0.008754567592889173
2022-03-18,0.07463333311238074,0.07748899890681304
2022-03-25,0.05916008243263704,0.06094506581381953
2022-04-01,0.04266135301321761,0.04358442828170728
2022-04-08,-0.09025002228536572,-0.08629728932931957
2022-04-15,-0.0418741906723934,-0.041009577076352555
2022-04-22,-0.02025492582447619,-0.020051172800721107
2022-04-29,-0.028859539768157916,-0.02844708056855827
2022-05-06,-0.06885174589632292,-0.06653494015397432
2022-05-13,-0.2076443337683287,-0.18750403729441234
2022-05-20,-0.002816618416989769,-0.0028126554689140715
2022-05-27,-0.019823672574879936,-0.01962847554632441
2022-06-03,0.03692448050375852,0.03761465774297856
2022-06-10,-0.021113388070938655,-0.020892060885359443
2022-06-17,-0.3511486630105285,-0.2961208947097115
2022-06-24,0.03646047098153815,0.03713330634584189
2022-07-01,-0.09697664464502154,-0.0924227973265157
2022-07-08,0.12022856253576641,0.12775458457177225
2022-07-15,-0.042047197421702265,-0.04117547454093584
2022-07-22,0.08632654564446973,0.09016225792542332
2022-07-29,0.046855664334131575,0.04797073860868761
2022-08-05,-0.021885569504595637,-0.021647818029119192
2022-08-12,0.046703983943341854,0.047811794052211365
2022-08-19,-0.15602408222339292,-0.14446141314843963
2022-08-26,-0.03002508708697782,-0.029578811797621674
2022-09-02,-0.014429758433596618,-0.014326148423860485
2022-09-09,0.06829009793880303,0.07067586429215322
2022-09-16,-0.07821347141851831,-0.07523300585083792
2022-09-23,-0.024313591118744426,-0.02402039677137391
2022-09-30,0.006927596661240543,0.006951647966158436
2022-10-07,0.005903791666199254,0.0059212533907671006
2022-10-14,-0.01865119862041631,-0.018478341348764693
2022-10-21,-0.0006875988083141493,-0.0006873624664259781
2022-10-28,0.07159006730956463,0.07421489799011938
2022-11-04,0.026443551787549424,0.02679628481093088
2022-11-11,-0.2162804041851949,-0.1944905980042082
2022-11-18,-0.0199529282523514,-0.019755185942695097
2022-11-25,-0.010592366583045632,-0.01053646501885197
2022-12-02,0.033731843977552245,0.03430721382904234
2022-12-09,0.0026002253719479285,0.002603608889941489
2022-12-16,-0.02875620372002352,-0.02834667894184495
2022-12-23,0.008938391931232914,0.008978458644746334
2022-12-30,-0.011639045756444588,-0.011571574085701974
2023-01-06,0.020825514926375632,0.021043879177330638
2023-01-13,0.16081675502710624,0.1744697334196066
2023-01-20,0.1301307389170656,0.13897728224741113
2023-01-27,0.017579878343328303,0.017735313914815087
2023-02-03,0.015930243410476663,0.016057806206658976
2023-02-10,-0.07978147081052,-0.07668190370307382
2023-02-17,0.12628703151098541,0.13460778973724552
2023-02-24,-0.05727561328849795,-0.05566623743757548
2023-03-03,-0.036678056616182175,-0.03601356554833657
2023-03-10,-0.10234255726380859,-0.09727973468631301
2023-03-17,0.306365051754252,0.3584781308664031
2023-03-24,0.002525820212113672,0.002529012783372586
2023-03-31,0.035207069237431554,0.035834175987006
2023-04-07,-0.019595749080302483,-0.019405000375831927
2023-04-14,0.08770457670445353,0.09166557094538841
2023-04-21,-0.11121713308857828,-0.10525555079040005
2023-04-28,0.07292013038452438,0.07564462216140044
2023-05-05,0.006594476976225394,0.006616268414229687
2023-05-12,-0.09696709689565708,-0.09241413196548909
2023-05-19,0.0031711911468690346,0.0031762246928863647
2023-05-26,-0.006373449635235673,-0.006353182285611547
2023-06-02,0.019652654920426116,0.01984703964693102
2023-06-09,-0.028634576790519617,-0.02822849254468418
2023-06-16,-0.005791281857341346,-0.005774544709997498
2023-06-23,0.15350243523705487,0.16591062638741438
2023-06-30,-0.007134478243997933,-0.007109088271375574
2023-07-07,-0.0044389220812028896,-0.004429084627859958
2023-07-14,-0.0002701964715594585,-0.0002701599717802594
2023-07-21,-0.014120565365564275,-0.014021337781371157
2023-07-28,-0.019906720166652292,-0.019709889659803026
2023-08-04,-0.00839670229875189,-0.008361548454933199
2023-08-11,0.011069483568784122,0.011130976992711483
2023-08-18,-0.12091619641992324,-0.11389178447782733
2023-08-25,-7.250566186556284e-05,-7.25030333934562e-05
2023-09-01,-0.009525665671064942,-0.00948044023254846
2023-09-08,0.0040586803315481035,0.004066927928910724
2023-09-15,0.026776722916476814,0.027138440683384335
2023-09-22,-0.0010951665638181396,-0.0010945670877798852
2023-09-29,0.012419091730810905,0.012496528884858416
2023-10-06,0.03773355695740399,0.03845450703584441
2023-10-13,-0.03956885390961595,-0.03879623092536
2023-10-20,0.09984617194047019,0.10500092485307055
2023-10-27,0.13313130062287115,0.14239998631369155
2023-11-03,0.023966705832114243,0.024256215564522066
2023-11-10,0.07169696683605764,0.07432973719208569
2023-11-17,-0.019410129753021366,-0.019222966097649397
2023-11-24,0.030240289884920557,0.03070217150610577
2023-12-01,0.025350946106472705,0.02567501402180028
2023-12-08,0.13242002259991814,0.14158771122096225
2023-12-15,-0.05197309753019397,-0.05064559352239606
2023-12-22,0.04814617360585416,0.04932402759153187
2023-12-29,-0.044108414299017795,-0.043149784395793755
2024-01-05,0.04784680233404792,0.049009937140029436
2024-01-12,-0.03010077290741897,-0.029652256142040145
2024-01-19,-0.029237046559485336,-0.02881377917381578
2024-01-26,0.004757345438965999,0.004768679573115664
2024-02-02,0.03221323960050526,0.03273770240200036
2024-02-09,0.08776149342025796,0.09172770673270869
2024-02-16,0.10104520607445977,0.10632665331806979
2024-02-23,-0.027763937644557757,-0.027382061814967273
2024-03-01,0.2076603560913206,0.2307950665026408
2024-03-08,0.08969490887137788,0.0938405117561043
2024-03-15,0.016030099136317588,0.016159270462202002
2024-03-22,-0.0845209918226626,-0.08104763531071513
2024-03-29,0.09154279553424871,0.09586367376042282
2024-04-05,-0.029845829688630587,-0.02940484102781471
2024-04-12,-0.009505466903988236,-0.00946043275661168
2024-04-19,-0.05117586792644069,-0.049888438311926464
2024-04-26,-0.0013832410867973266,-0.0013822848497982987
2024-05-03,-0.013668076608208679,-0.013575092568867686
2024-05-10,-0.03391357160316133,-0.03334495252673353
2024-05-17,0.09799558531524255,0.1029579158862608
2024-05-24,0.021748143854598112,0.02198635850973596
2024-05-31,-0.015214326683189228,-0.015099173547123534
2024-06-07,0.02705884243712653,0.02742825736745913
2024-06-14,-0.04923641812846746,-0.048043956573854185
2024-06-21,-0.029437747413229687,-0.029008677518693626
2024-06-28,-0.060719077354692175,-0.05891242454350387
2024-07-05,-0.06255558003468664,-0.060639148346177674
2024-07-12,0.02159773154856026,0.021832650744872506
2024-07-19,0.14164906717770087,0.15217224252464012
2024-07-26,0.017856460797645468,0.01801684057665498
2024-08-02,-0.10055848348254237,-0.0956677776315511
2024-08-09,-0.008748611979511267,-0.008710454230585363
2024-08-16,-0.033165565563553656,-0.03262161821751497
2024-08-23,0.084615293121173,0.08829831030813984
2024-08-30,-0.08079587905296925,-0.07761805029267455
2024-09-06,-0.09152582854555291,-0.08746225367512528
2024-09-13,0.11578660218998316,0.1227562528415096
2024-09-20,0.04237196820628242,0.04328247449593392
2024-09-27,0.04028478007902869,0.04110721857564026
2024-10-04,-0.05825581982144534,-0.056591426048884896
2024-10-11,0.0060654831853561575,0.006083915476566171
2024-10-18,0.09135987272311574,0.09566323362969587
2024-10-25,-0.026306258173109498,-0.025963262787029096
2024-11-01,0.0417332499192451,0.04261632366493329
2024-11-08,0.09681055652814763,0.1016516531373246
2024-11-15,0.17369957506940992,0.18969809715854158
2024-11-22,0.08351165038099673,0.08709788032358734
2024-11-29,-0.01563858582185418,-0.01551693809694532
2024-12-06,0.02491931215298493,0.025232393392424557
2024-12-13,0.015280336177818654,0.015397677424076273
2024-12-20,-0.03718345824655067,-0.03650064276878384
2024-12-27,-0.03742678953399903,-0.03673506378569269
2025-01-03,0.04101603030343881,0.04186880688473393
2025-01-10,-0.03533375497648805,-0.03471680558087198
2025-01-17,0.0980943982659479,0.10306690779725036
2025-01-24,0.0034159313655806045,0.0034217723079876805
2025-01-31,-0.023303905805823533,-0.023034466844561785
2025-02-07,-0.0590913967997615,-0.05737938728744307
2025-02-14,0.010099989343501647,0.010151166386620947
2025-02-21,-0.014289243936341123,-0.014187637226960259
2025-02-28,-0.13040757921355173,-0.12226238959953906
2025-03-07,0.027698403392598436,0.028085570538934013
2025-03-14,-0.03249704856297875,-0.03197469310718071
2025-03-21,0.0008825616994290186,0.0008829512716033161
2025-03-28,0.0036806798378332672,0.003687461858130181
2025-04-04,-0.006056534289093918,-0.0060382304565358424
2025-04-11,-0.005249307334869613,-0.005235553797160231
2025-04-18,0.012462879229858004,0.012540864546317199
2025-04-25,0.11476127806236747,0.12160565373535248
2025-05-02,0.022852988452536138,0.02311611860684848
2025-05-09,0.06066251534977418,0.06254026264201618
2025-05-16,0.0050221663911109715,0.00503479860691769
2025-05-23,0.03604679410686096,0.036704357010376
2025-05-30,-0.031137762086572707,-0.030657974702679835
2025-06-06,0.0037600263030341807,0.003767104070015348
2025-06-13,0.01615974347263638,0.01629101829641222
2025-06-20,-0.02656660169108882,-0.026216813931204674
2025-06-27,0.035924618685017506,0.03657770495527357
2025-07-04,0.00879416312259984,0.008832945377575285
2025-07-11,0.08413383554637832,0.08777446695730062
2025-07-18,0.0041290303515655324,0.004137566542072646
2025-07-25,-0.0031178529621307405,-0.0031129975060930626
2025-08-01,-0.03737768155639465,-0.036687758631258394
2025-08-08,0.029293499439189574,0.02972677435894222
2025-08-15,0.0060629333276409625,0.006081350109000683
2025-08-22,-0.004475699367484154,-0.004465698351146741
2025-08-29,-0.07516912018996358,-0.0724134005593493
